,SID,key,Module #,Module,Method,MID,Selected,Reason,Familiar
383,S_5,1,5,Communicate,Composite Characters,M_58,True,"As I said about personas, our team needs a way to refocus on our users instead of treating our problem as a functional problem. Creating composite characters has the benefits of building personas, and additionally it is easier to build a composite character and make the character more relatable to wider audiences. ",False
384,S_5,1,5,Communicate,Design Roadmap,M_59,False,"Design roadmapping, though useful for innovation-driven tech companies, does not fit well in our team project. We are not focusing on how to rebuild our innovation processes. Rather, we need methods that can keep us focus on our design and users. ",False
385,S_5,1,5,Communicate,Envisionment Video,M_60,False,"Envisionment Video is a great format for communicating the user experience in a visual and interactive way. Since visualization helps clarify and unify the understanding of the same idea, environment videos would help us to better get our message and ideas across to our users or stakeholders. However, this method would be more useful if it is used in a later design stage. I would not choose to use this method at this moment because we need to understand our design_Ñés use cases first by using storyboards. ",False
386,S_5,1,5,Communicate,Personas,M_61,False,"If it is correctly used, it is a great tool to keep us focusing on the real human needs and add an empathetic focus in our design. As how our team project has progressed, a lot of the times we are focusing on solving our problem as a functional problem using IoT sensors and devices. However, this is not the goal of design thinking, or designing for humans. We need a method that can keep us focusing on our users, not the functional problems. However, I would composite characters over personas because it is easier to create one unique character when combining traits of multiple people, and it makes characters more relatable to wider audiences. ",True
387,S_5,1,5,Communicate,Service Blueprint,M_62,False,"Service blueprints can be a good method to understand and improve an often complex service. In our case, we are not dealing with a very complex service, and service blueprints may not help us to focus on our users. Storyboarding would be a much better method for us to understand our service. ",False
388,S_5,1,5,Communicate,Storyboard,M_63,True,Storyboarding would help us to understand the user experience with our design from the beginning to the end. Our team needs to shift our focus to the user instead of focusing on the functional view of the design. Storyboarding would add an empathetic focus to the user and help us move beyond the basic functional view.   ,True
389,S_5,1,5,Communicate,Usability Report,M_64,True,I chose this method because it is a well-organized way to document our user testings and observations in a way that it is easy to extract and present insights for the next design stages. ,True
390,S_6,1,1,Research,1:1 Interview,M_0,False,Might not have enough time to get a big enough amount of interviews to get diverse data.,False
391,S_6,1,1,Research,AEIOU,M_1,True,It gives a good framework for organizing and illustrating how certain actions and environments interact.,False
392,S_6,1,1,Research,Closed Card Sorting,M_2,False,I don't see any particular aspect of this project that would be crucial in using this method.,False
393,S_6,1,1,Research,Community Appraisal,M_3,False,Also not sure if this will be a feasible option with the time given.,False
394,S_6,1,1,Research,Competitive Analysis,M_4,False,I would like to take a more user-centric approach rather than a market approach.,True
395,S_6,1,1,Research,Conjoint Analysis,M_5,True,This reveals realistic statistics on how certain function combinations appeal to the audience.,False
396,S_6,1,1,Research,Conversation Cafe,M_6,False,I don't think this method will serve us particularly well compared to other methods.,False
397,S_6,1,1,Research,Design Ethnography,M_7,True,"This will reveal a lot about the target user population without direct application of the product, which can reveal things that one would otherwise not realize.",False
398,S_6,1,1,Research,Focus Group,M_8,False,Not sure how feasible it is to get a group with the amount of time we have.,True
399,S_6,1,1,Research,Open Card Sorting,M_9,False,I'm not too sure where this would apply in completing the project at hand.,False
400,S_6,1,1,Research,POEMS,M_10,False,It does not strike too much as something that will greatly impact the project.,False
401,S_6,1,1,Research,POSTA,M_11,False,This also does not strike me as would contribute much to the project.,False
402,S_6,1,1,Research,Usability Testing,M_12,False,This might need a lot of time and iterations in getting data from different levels of prototypes.,True
403,S_6,1,1,Research,User Observation,M_13,False,I feel like this is already a general method that is somehow ingrained in all other methods.,True
404,S_6,1,2,Analysis,2x2 Matrix,M_14,False,We don't plan on have set variables that could be measured by the 2x2 matrix. Other methods could serve our project better.,True
405,S_6,1,2,Analysis,Affinity Diagram,M_15,False,"This method is used for large amounts of data, which I don't think will be particularly useful in our design process. ",False
406,S_6,1,2,Analysis,Atomize,M_16,False,"While this method is quite interesting in bringing out data and information, I don't think digging deeper for smaller aspects will serve us particularly well for this project.",False
407,S_6,1,2,Analysis,Concept Mapping,M_17,False,This method is quite useful for organizing but I don't think it will help us in understanding or revealing much new from our data.,True
408,S_6,1,2,Analysis,Context Mapping,M_18,False,This method is very time consuming and I believe the information revealed through this can be pieced out through other or previous methods used.,False
409,S_6,1,2,Analysis,Customer Journey Mapping,M_19,True,Our environment and customer population (BART commuters) is very diverse and each person goes through some kind of process when it comes to commuting. This will help us visualize the journey of each type of customer and how they each approach a certain process.,False
410,S_6,1,2,Analysis,Empathy Map,M_20,False,"Because we plan on analyzing a multiple amount of diverse people, this method might present good information but in a cluttered way that could be better organized/analyzed through other methods.",False
411,S_6,1,2,Analysis,How Might We,M_21,False,"I don't think this method will particularly be worth spending time doing as ""how might we"" questions somewhat automatically come up when it comes to brainstorming and prototyping.",False
412,S_6,1,2,Analysis,Kano Analysis,M_22,True,"With multiple people analyzed, this method provides a very good way to visualize the needs and wants of customers. This will also allow us to understand how these needs and wants set themselves apart or potentially collide between users.",False
413,S_6,1,2,Analysis,Mind Mapping,M_23,False,This method may be too in depth in our goal to find a generalization between a diverse pool of customers. This might give us too much clutter in terms of data.,False
414,S_6,1,2,Analysis,Powers of 10,M_24,False,We most likely are not working on a project that has to be analyzed in a vast difference of perspectives that the Powers of 10 suggests to do.,False
415,S_6,1,2,Analysis,Reframing,M_25,False,I feel like this is a method ingrained in brainstorming that it is not necessarily a specific method that I would spend time particularly using.,False
416,S_6,1,2,Analysis,Spectrum Mapping,M_26,False,I don't think this method will serve us particularly better than others as we do not have too many spectrums/perspectives to explore which this method caters to.,False
417,S_6,1,2,Analysis,Task Analysis,M_27,False,"This method involves a lot of steps that could be quite tedious to do. While this does reveal a lot of data and information, I think doing more specialized methods will serve us well in understanding our audience and possible product solutions.",True
418,S_6,1,2,Analysis,Touchpoint Matrix,M_28,False,"This method is very useful in identifying differences and useful information for personas, but I find it quite similar in goal as Customer Journey Mapping. This method seems tedious and might approach things in a fairly abstract manner compared to other methods.",False
419,S_6,1,2,Analysis,Why-How Laddering,M_29,True,I like how this method allows us to look further than the surface of a product's purpose. This allows us to understand further effects of it that will allow us to understand further the effectiveness of a product.,False
420,S_6,1,3,Ideate,3-12-3 Brainstorming,M_30,False,This is basically another version of brainstorming which I doubt we will be able to formally do due to time constraints and constraints with meeting up.,False
421,S_6,1,3,Ideate,6-3-5 Brainwriting,M_31,False,"Though getting a lot of ideas out is important, we're not really aiming for quantity so this method can be quite unnecessary to do.",False
422,S_6,1,3,Ideate,6-Up Sketches,M_32,True,This allows us to visualize highlights of what our product can and is designed to do. This may highlight how little or much features we may have and if they truly accompany the user experience.,False
423,S_6,1,3,Ideate,Anti-Problem,M_33,False,"With the time crunch we are given, I think it would be safer to approach the problem as it is and not get too derailed/caught up with looking at it at a different angle.",False
424,S_6,1,3,Ideate,Attribute Listing,M_34,True,"Though features and attributes can seem trivial, I think this method really allows us to flesh out and further understand what our features can do and where they could be limited in.",False
425,S_6,1,3,Ideate,Biomimicry,M_35,False,"This is pretty cool, but as far as our product ideas are concerned, there seems to be no necessary connection to designing after something in nature.",False
426,S_6,1,3,Ideate,Borda Count Voting,M_36,False,"For this method to effectively work, we would have to gather data from many people which I believe we might have issues doing due to everyone's varying schedules.",False
427,S_6,1,3,Ideate,Brainstorming,M_37,True,This is probably the best way to get ideas out from a group with a balance of collaboration. I think this is quite essential in making a product.,True
428,S_6,1,3,Ideate,Design Heuristics,M_38,False,"Though this method provides for more ideas, having 77 cards could be quite time consuming and each might not be too necessary in applying to our product.",True
429,S_6,1,3,Ideate,Design the Box,M_39,False,"I do like this method a lot since it looks forward to how a product should be marketed and how we would want the user pool to perceive it. Nonetheless, fleshing out our ideas through attribute listing over looking directly to designing a box could be more beneficial as it prevents us from overlooking anything.",False
430,S_6,1,3,Ideate,Do-Redo-Undo,M_40,False,"There doesn't seem to be much risk in making mistakes in our product, so plotting out undo options will probably not be too useful to put time in.",False
431,S_6,1,3,Ideate,Forced Analogy,M_41,False,"Our product isn't really meant to be comparable to something, and I'm not really sure what we could present an analogy of it to that would provide us better data in designing the product.",False
432,S_6,1,3,Ideate,Visual Brainstorming,M_42,False,"This is a subset of general brainstorming, and brainstorming is one of my choices.",True
433,S_6,1,3,Ideate,Weighted Matrix,M_43,False,"I do like how this presents importance weight in a quantitative way, I don't think this is really too essential in our process. I believe other methods will be able to help in providing data to see what is important.",False
434,S_6,1,4,Build,Additive Manufacturing,M_44,0,,0
435,S_6,1,4,Build,Direct Shell Production Casting,M_45,0,,0
436,S_6,1,4,Build,Experience Prototyping,M_46,0,,0
437,S_6,1,4,Build,Fused Deposition Modelling,M_47,0,,0
438,S_6,1,4,Build,Laminated Object Manufacturing,M_48,0,,0
439,S_6,1,4,Build,Laser Cutting,M_49,0,,0
440,S_6,1,4,Build,Prototyping,M_50,0,,0
441,S_6,1,4,Build,Rapid Prototyping,M_51,0,,0
442,S_6,1,4,Build,Service Prototyping,M_52,0,,0
443,S_6,1,4,Build,Tangible Prototyping,M_53,0,,0
444,S_6,1,4,Build,Water Jet Cutting,M_54,0,,0
445,S_6,1,4,Build,Wireframe,M_55,0,,0
446,S_6,1,5,Communicate,7Ps Framework,M_56,False,"Because our group is unable to do regular meetings, this really isn't a method that would significantly benefit us. Moreover, I believe we have a good general sense of our goals.",False
447,S_6,1,5,Communicate,Business Model Canvas,M_57,False,This isn't in the website so I actually just don't know what this method is.,False
448,S_6,1,5,Communicate,Composite Characters,M_58,False,"This is very closely related to personas, and I ultimately chose personas as it allows for more different individuals rather than generalizations.",False
449,S_6,1,5,Communicate,Design Roadmap,M_59,True,This method focuses on the user rather than technology--which is something that can easily derail the purpose of a product. I like how this connects it back to the audience and reduces possibilities of catering towards trends in technology.,True
450,S_6,1,5,Communicate,Envisionment Video,M_60,False,"Because we don't have enough people to do a proper visualization of commuting with BART (and due to the other methods chosen), I don't find this method especially beneficial in visualizing our customer experience.",False
451,S_6,1,5,Communicate,Personas,M_61,True,"Our product is designed to cater to a diverse population, so it is very crucial to understand these different people. Personas are already embedded into our process and has allowed us to further understand our audience and how the design of our product can better cater to them.",True
452,S_6,1,5,Communicate,Service Blueprint,M_62,False,"I was on the fence choosing between this method and storyboards, but ultimately vetoed this option as I believe, with the time given to us, a more visual approach/relatable method would benefit us more in understanding and communicating our product.",False
453,S_6,1,5,Communicate,Storyboard,M_63,True,"Because our product caters to routinely activities, storyboards would allow us to visualize general scenarios where our product will be used. This will be a good method to also communicate between our group as well as others rather than simply explaining features.",True
454,S_6,1,5,Communicate,Usability Report,M_64,False,"I would prefer doing a more visual approach to finishing this project and though quite useful, doing a usability report can be a little tedious for the time given.",False
455,S_7,1,1,Research,1:1 Interview,M_0,False,This method can be very time-consuming and requires careful planning and recruiting. ,True
456,S_7,1,1,Research,AEIOU,M_1,True,"Observations are everywhere and of various kind. Using AEIOU, despite its limitations, gives us a place to start organizing our observations. ",False
457,S_7,1,1,Research,Closed Card Sorting,M_2,False,Closed Card Sorting required us to have preset of ideas. I think the method is quite limiting. ,False
458,S_7,1,1,Research,Community Appraisal,M_3,True,This method is good for projects that are designed for a specific kind of users. Getting the feedback from the future users is great for testing assumptions we make in the design process. ,True
459,S_7,1,1,Research,Competitive Analysis,M_4,False,It is not a bad idea to keep an eye on the competitors. But too much attention paid to the competitors will derail a project's original goal. ,True
460,S_7,1,1,Research,Conjoint Analysis,M_5,True,Most of the products and services are created to create values to the end users. But whether or not we can capture the value depends on our ability to attract consumers to choose our services over competitors.  ,False
461,S_7,1,1,Research,Conversation Cafe,M_6,True,"This method requires a moderate amount of planning, but the yield could thought-provoking as people engage in free-flowing conversations ideas will emerge.",True
462,S_7,1,1,Research,Design Ethnography,M_7,True,"Using adopting this framework, designers can empathize with the users and identify their needs. Ultimately, all the products and services we are design have a user in mind. ",True
463,S_7,1,1,Research,Focus Group,M_8,False,Focus Group can be very biased and non-representative if not done correctly. It requires a lot of careful planning.  ,False
464,S_7,1,1,Research,Open Card Sorting,M_9,True,A lot of times the problems we are presented with are open-ended. It is often good to utilize a method that allows a great degree of creativity.,True
465,S_7,1,1,Research,POEMS,M_10,True,"To organize observations, it is often better to use more than one method as each method has its own limitations. ",False
466,S_7,1,1,Research,POSTA,M_11,False,I have already chosen two other methods for categorizing observations. I think it is sufficient to have two methods.  ,False
467,S_7,1,1,Research,Usability Testing,M_12,True,"In order to gain insight of whether or not a service or product is solving a problem, we need to test it on the users. Because ultimately they are the people who are going to either use the service or not.",True
468,S_7,1,1,Research,User Observation,M_13,True,This method could be the foundation for iterations. ,False
469,S_7,1,2,Analysis,2x2 Matrix,M_14,False,I wouldn't turn down this method outright since it is good alternative to organize our thoughts and observation in a different light. ,False
470,S_7,1,2,Analysis,Affinity Diagram,M_15,False,We might use this method to supplement our other methods to organize our observations and interview. ,False
471,S_7,1,2,Analysis,Atomize,M_16,False,"I think atomize is more suitable to break down large and complex system into digestible chunks. In our application, emphasis is placed on identifying the relationship between users.   ",False
472,S_7,1,2,Analysis,Concept Mapping,M_17,False,"Again, identifying relationship between users is more needed for our project. ",False
473,S_7,1,2,Analysis,Context Mapping,M_18,False,"In our project, even though it is in the medical industry, we don't think it is influenced heavily by external forces. ",False
474,S_7,1,2,Analysis,Customer Journey Mapping,M_19,False,I wouldn't reject this method outright. It can be potentially incorporated in the interview sessions to guide users' thinking. ,False
475,S_7,1,2,Analysis,Empathy Map,M_20,False,No doubt this is a great way to organize our observations. But I didn't choose this for our project because we have similar methods that accomplish the same goal. ,False
476,S_7,1,2,Analysis,How Might We,M_21,False,"Especially in our application, it is not recommended to take on the persona of being our users because the users we have identified have special needs which we do not have. ",False
477,S_7,1,2,Analysis,Kano Analysis,M_22,False,I think it is better to take a more qualitative approach in the beginning to identify the unmet needs of our two sets of users.,False
478,S_7,1,2,Analysis,Mind Mapping,M_23,False,"Again, our project requires more close listening and organizing rather than innovative thinking.",False
479,S_7,1,2,Analysis,Powers of 10,M_24,False,"I think our project places a higher priority on empathizing with our users. Although we are going to use technology to provide better solutions, but most of the time and especially in our case our users may already have a good solution in their mind. It is our job to capture and help them articulate that. ",False
480,S_7,1,2,Analysis,Reframing,M_25,False,I would not suggest using this method before we try out the methods we identified as a team. Because we have chosen methods that can accomplish similar goals. Re framing can for sure provide additional insight and shed new light on an old problem. ,False
481,S_7,1,2,Analysis,Spectrum Mapping,M_26,True,The goal of our project is to find a good match between the problems our audience face on a daily basis and our solution. So it demands very careful observation and listening to our users. Adopting methods that encourage innovation and different perspective is crucial for our project. ,False
482,S_7,1,2,Analysis,Task Analysis,M_27,False,Task analysis will come in handy when we implement our ideas into design. In term of project management this will be an invaluable  method but not at an early stage.,False
483,S_7,1,2,Analysis,Touchpoint Matrix,M_28,True,This method may be a good fit for our project since we have different components built in and these compoenents need to work with each other smoothly.,False
484,S_7,1,2,Analysis,Why-How Laddering,M_29,True,"This technique can be incorporated in our interview with the doctors. However, I am concerned that by asking leading questions we are limited to the scope that we have in mind before conducting an interview. So I would suggesting using this technique along with a free-flowing conversation.",False
485,S_7,1,3,Ideate,3-12-3 Brainstorming,M_30,False,"I didn't choose this kind of brainstorming method because it is limiting. While it does give discipline and organization to a brainstorming session, because of working under time constraint the ideas will not be well thought out.  ",False
486,S_7,1,3,Ideate,6-3-5 Brainwriting,M_31,False,"Same reason as the previous one, we would like to have a blank canvas that we can work on. ",False
487,S_7,1,3,Ideate,6-Up Sketches,M_32,False,6-Up Sketches only captures limited user experiences. We would like a tool that offers more flexibility.  ,False
488,S_7,1,3,Ideate,Anti-Problem,M_33,False,I didn't use this method but I was focusing on how to get users adopt our product. But it could be a good method to use for later development stage. ,False
489,S_7,1,3,Ideate,Attribute Listing,M_34,False,"We had requirements for the product, but it really isn't specific attributes. ",False
490,S_7,1,3,Ideate,Biomimicry,M_35,False,I didn't approach the product design through biomimicry. ,False
491,S_7,1,3,Ideate,Borda Count Voting,M_36,False,We didn't generate enough opposing ideas to make use of this method. ,False
492,S_7,1,3,Ideate,Brainstorming,M_37,True,I personally enjoy brainstorming session with my team. Every time we were able to come up with new ideas that excite me. ,True
493,S_7,1,3,Ideate,Design Heuristics,M_38,False,"We adopted a method similar to this, but it isn't exactly what design heurisitics. We like to throw ideas out and challenge each other for a logical reasoning behind it. ",False
494,S_7,1,3,Ideate,Design the Box,M_39,True,This method really allows us to focus on what is absolutely crucial. ,False
495,S_7,1,3,Ideate,Do-Redo-Undo,M_40,False,We went through several iterations in our design. But each design is more of an improvement of the previous one than a complete overhaul. ,False
496,S_7,1,3,Ideate,Forced Analogy,M_41,False,This is a method that requires some practice. We avoided using this.  ,False
497,S_7,1,3,Ideate,Visual Brainstorming,M_42,True,"We use this method a lot throughout our ideation process. From using cardboard , post-it notes, to hand gestures, we utilized different communication tools to get our ideas across. ",False
498,S_7,1,3,Ideate,Weighted Matrix,M_43,False,"We didn't use weighted matrix formally, but in our mind we were definitely clear about what aspects of the design of higher importance.",False
499,S_7,1,4,Build,Additive Manufacturing,M_44,False,"We do not have the budget for it. Also, using cardboard is enough for our needs. ",False
500,S_7,1,4,Build,Direct Shell Production Casting,M_45,False,This is an overkill for our product. ,False
501,S_7,1,4,Build,Experience Prototyping,M_46,False,I have already chosen three methods. ,False
502,S_7,1,4,Build,Fused Deposition Modelling,M_47,False,We do not know how to produce CAD models. ,False
503,S_7,1,4,Build,Laminated Object Manufacturing,M_48,False,We do not have the budget for this kind of method. ,False
504,S_7,1,4,Build,Laser Cutting,M_49,False,Our product is easy enough to make. We used cardboard instead. ,True
505,S_7,1,4,Build,Prototyping,M_50,True,Prototyping is extremely helpful for discovering new insights and communicating ideas to people.,True
506,S_7,1,4,Build,Rapid Prototyping,M_51,True,Rapid prototyping is a good way to communicate to team members through visualization. ,True
507,S_7,1,4,Build,Service Prototyping,M_52,False,Our idea is a physical product. Service prototype is not very suitable here. ,False
508,S_7,1,4,Build,Tangible Prototyping,M_53,True,"One of our team members is really good with making physical models. After seeing the model he made, we all had a better idea of what we were trying to build.",False
509,S_7,1,4,Build,Water Jet Cutting,M_54,False,Water Jet Cutting seems like an overkill for our product. We just need a low-fidelity model to explain our ideas. ,True
510,S_7,1,4,Build,Wireframe,M_55,False,Our idea is a physical concept rather than a software of app. Wireframe is better suited for software development. ,False
511,S_7,1,5,Communicate,7Ps Framework,M_56,True,This method is helpful for organizing meetings and achieving focus and productivity. ,False
512,S_7,1,5,Communicate,Business Model Canvas,M_57,False,This method cannot be found designexchange.org. ,False
513,S_7,1,5,Communicate,Composite Characters,M_58,False,We used persona a lot. We like to separate user types. ,False
514,S_7,1,5,Communicate,Design Roadmap,M_59,False,We actually used this method when we were stuck in our brainstorming session. It is helpful to chronicle a user's experience over time. Our skit was actually a act-out road map. ,False
515,S_7,1,5,Communicate,Envisionment Video,M_60,False,"For fast prototyping, making a video takes a long time. Sketching and other tools are more efficient for a low-fidelity explanation. ",True
516,S_7,1,5,Communicate,Personas,M_61,False,"This is a method that we actually used a lot. But since we can only choose three of the top methods, I decided not to include this one. ",False
517,S_7,1,5,Communicate,Service Blueprint,M_62,False,Service blueprint is better used for services. ,False
518,S_7,1,5,Communicate,Storyboard,M_63,True,It helps us to be in a user's perspective and also it helps us explain a user's experience to others. ,True
519,S_7,1,5,Communicate,Usability Report,M_64,True,We use this method quite often. Team members would go out and pitch the product to people. Later we would convene to discuss our findings. ,False
520,S_8,1,1,Research,1:1 Interview,M_0,False,"Compared with Focus Group, this method sometimes can be limited since each interview can't share their opinions. But if it is possible, I would like to use this method before a Focus Group to get a more satisfying result.",True
521,S_8,1,1,Research,AEIOU,M_1,False,"The benefit of this method is not suitable for me. Since our next mission is to get the information from the customers, this method can just categorize the data, while it can only focus on precise situations. I've got a better choice than this one.",False
522,S_8,1,1,Research,Closed Card Sorting,M_2,False,I think this method takes a long time but only has limited advantages.I think this method takes a long time but only has limited advantages.,True
523,S_8,1,1,Research,Community Appraisal,M_3,False,"This method is to make the final decision by the community, while we know that most members of the community are unprofessional, sometimes they can't make the right judgment.",True
524,S_8,1,1,Research,Competitive Analysis,M_4,False,This method can be helpful when we learn from other companies. But what we want is to innovate rather than copy.,True
525,S_8,1,1,Research,Conjoint Analysis,M_5,True,"We can know the different importance of all parts we need to consider in thise way, and give out a most proper solution.",True
526,S_8,1,1,Research,Conversation Cafe,M_6,False,"I agree this method can be really helpful, but I think it is more suitable for us to analysis the data, rather than gathering the data.",True
527,S_8,1,1,Research,Design Ethnography,M_7,False,"This method need us to get into a certain culture group to figure out their thoughts, however we do not have enough time and we may be absorbed to the group that we can not give out a conclusion.",False
528,S_8,1,1,Research,Focus Group,M_8,True,"In my point, this is the most useful way to get data. Different from 1:1 interview, we can learn more about a group thoughts in the most effecient way.",True
529,S_8,1,1,Research,Open Card Sorting,M_9,False,"This method are aimed to let the customer give a new category of our products, but we don't actually need this. What we really need is some ideas that can improve our products.",False
530,S_8,1,1,Research,POEMS,M_10,True,"After we get information, we need to analysis them and POEMS can give us a clear view of what we have got.",True
531,S_8,1,1,Research,POSTA,M_11,False,"This method is similar to POMES, but I think POMES is more suitable for this mission.",True
532,S_8,1,1,Research,Usability Testing,M_12,False,This method is similar to User Observation  ,False
533,S_8,1,1,Research,User Observation,M_13,False,"I think this method is really useful when we test our protype, but since I can only choose three methods, so I have to abandon this.",True
534,S_8,1,2,Analysis,2x2 Matrix,M_14,False,"This method helps to sort and make sense of data or options, but when there are several factors, we have to re-do this matrix for many times.",True
535,S_8,1,2,Analysis,Affinity Diagram,M_15,True,"The method helps us to figure out the idea, as well as their importance. If there are several people mention a same thing, then it must mean something.",True
536,S_8,1,2,Analysis,Atomize,M_16,False,This method is similar to the Why-How Laddering. It break down the issue to smaller components to help us gain a insight of the issue. But the method is restricted to the depth investigation.,True
537,S_8,1,2,Analysis,Concept Mapping,M_17,True,"As I mentioned before, there are several methods similar to the Why-How Laddering, however, in my personal view, the Concept Map is the best one among these methods. Since it get a overall sight about the issue, and includes both depth and widens investigations.",False
538,S_8,1,2,Analysis,Context Mapping,M_18,False,"This method only has a limited function, but it needs a lot of upfront work. I would like to choose other methods which have a similar function and is easier to access.",False
539,S_8,1,2,Analysis,Customer Journey Mapping,M_19,False,"We sure need to listen to the customers, but most of the time, they can't give out a proper information to solve the problem. I can't account on the users to give out the solutions.",False
540,S_8,1,2,Analysis,Empathy Map,M_20,True,We have learned this method at last class. This method can let us look the real users' needs from feeling their pain and gain.,True
541,S_8,1,2,Analysis,How Might We,M_21,False,"The method is used in design process after gathering the initial information. It can reveal the hidden problem, but It is ineffective for problem which is too board or too narrow, and sometimes can be misleading.",True
542,S_8,1,2,Analysis,Kano Analysis,M_22,False,"The method can only use on effects not for suggesting new feature, however, our target is to improve the existing products and make it easier access. So some other methods may suit us better.",False
543,S_8,1,2,Analysis,Mind Mapping,M_23,True,"I have use this method to conduct my note. From my experience, the method takes a huge amount of time, and it can be disorder. It is also hard for other people to understand your mind map.",True
544,S_8,1,2,Analysis,Powers of 10,M_24,False,"This method let us consider the problems in a different magnitude, which can give us a new understanding about the questions. But this method required a high level of abstract mind and that sometimes can be really hard.",False
545,S_8,1,2,Analysis,Reframing,M_25,False,I think this method has skipped some procedure in solving the problem. It just need we give out a practical solution to the issue. So I think this method is not feasible.,False
546,S_8,1,2,Analysis,Spectrum Mapping,M_26,False,"This method is aimed to organize the given options around a topic. It can give us a clear view, and let us solve the unconscious part, as well as understand each others. But the usage to this method is limited.",False
547,S_8,1,2,Analysis,Task Analysis,M_27,False,"The functions have been included in Empathy Map, which is to know the users' goal and we can use Concept Map to simplify the task.",False
548,S_8,1,2,Analysis,Touchpoint Matrix,M_28,False,"I don't think it will do much help if we just make the procedure visual, and this method is also based on personal- core. I have shown my attitude about letting customers give the solutions. Besides, it can be tedious so that we can get useful information from it.",False
549,S_8,1,2,Analysis,Why-How Laddering,M_29,False,"After seeing the introductions of all the methods, I found that there many similar methods such as HMW. Comparing to these, Why-How laddering can't give us as much information as other methods.",True
550,S_8,1,3,Ideate,3-12-3 Brainstorming,M_30,False,"This method also include a prestation part, since we don't have enough time to do that in the class, and it's hard for us to gather together after the class, so I don't think this method will be useful.",True
551,S_8,1,3,Ideate,6-3-5 Brainwriting,M_31,False,The reason why I don't choose this one is similar to the one of 3-12-3 brainstorming.,True
552,S_8,1,3,Ideate,6-Up Sketches,M_32,False,"This method is aimed to point out the concept by drawing them, but I think we need to think out the concept first and than describe it to others, so in my opinion, the brainstorming is better than this one.",True
553,S_8,1,3,Ideate,Anti-Problem,M_33,False,"This method can be really helpful when we run out of the idea, but I think the solutions it comes up with could be to naive and useless sometimes.",True
554,S_8,1,3,Ideate,Attribute Listing,M_34,False,"I think to do this method, we should have a certain product, then we can discuss the different fetures in different ideas, however, we don't have an clear idea of the product by now.",True
555,S_8,1,3,Ideate,Biomimicry,M_35,False,"It is ture that we can learn a great of things from the animal, but I think our product don' t have to take that from it. ",True
556,S_8,1,3,Ideate,Borda Count Voting,M_36,False,I think this method is similar to the weighted matrix.,True
557,S_8,1,3,Ideate,Brainstorming,M_37,True,"This is the most effective way to come up with some concepts, also, we could do this method individually, and don't have to discuss in a group. That help us a lot.",True
558,S_8,1,3,Ideate,Design Heuristics,M_38,False,"It's impractial for our group to come up with 77 strageties in such a short time, also, since I have chosen the brainstorming, I think it won't necessary for me to choose a similar one.",False
559,S_8,1,3,Ideate,Design the Box,M_39,True,"I really like this method because I can figur out what kind of product I would like to make. Also, this method is creative and artistic.",True
560,S_8,1,3,Ideate,Do-Redo-Undo,M_40,False,"I think this method can help us to refine our product,  but not creating it.",False
561,S_8,1,3,Ideate,Forced Analogy,M_41,False,"I think this method can be inaccurate for designing the product. Because we just focus on the redom list, but I think if we want to build a useful product, we should focus on the users' needs.",False
562,S_8,1,3,Ideate,Visual Brainstorming,M_42,False,"Compared with brainstorming, this method will take more time and just like I mentioned before, we don't have to describe to others at the early stage.",True
563,S_8,1,3,Ideate,Weighted Matrix,M_43,True,"It's common for our group members come out some similar ideas, so I want touse this one to decide which concept we are going to use in our product.",True
564,S_8,1,4,Build,Additive Manufacturing,M_44,True,"This method is the 3D print, and it can provide us some parts without splicing. It will do much help us to make better appearance of the product when we build a final product.",True
565,S_8,1,4,Build,Direct Shell Production Casting,M_45,False,This method can just build some shell and part won't be accurate. I think the 3D print will have a better performance than this method. ,True
566,S_8,1,4,Build,Experience Prototyping,M_46,False,"This method is to let us experience the using  procedure and give some improvements to our final product, like a role play part, which has been included in the Prototype part, so I won't choose this one.",True
567,S_8,1,4,Build,Fused Deposition Modelling,M_47,False,"I didn't figure out the difference between this method and the Additive Manufacturing, but after seeing the video of two methods, I think the Additive Manufacturing has broader scope in usage than this method.",True
568,S_8,1,4,Build,Laminated Object Manufacturing,M_48,False,"This method is kind like the 3D print, but it  can't produce highly accurate parts and therefore it is not appropriate for creating functional moving prototypes, besides, from my understanding of this method, it will make a great waste of the material.",False
569,S_8,1,4,Build,Laser Cutting,M_49,True,"Laser Cutting is a useful tool for us to get a particular shape of parts, like gears of something. Although this method has some limitation like it will burn the cutting edge, I think it won't make much influence on our product.",True
570,S_8,1,4,Build,Prototyping,M_50,True,"This method has been introduced to us in the class, and from my own experience of the  method, I find it really useful to build a prototype and doing some role play that we can get much feedback from our customers.",True
571,S_8,1,4,Build,Rapid Prototyping,M_51,False,"I will be a great advantage for us to build a numerous prototype before our final product, but due to the limitation of time, it is impractical for us to build such numbers of prototype.",True
572,S_8,1,4,Build,Service Prototyping,M_52,False,"This method is to let people use your product and give feedback, but I don't think we can reach that phase due to the limitation of time, and I think a focus group can get a better result than this one.",False
573,S_8,1,4,Build,Tangible Prototyping,M_53,False,"I think this method has already been included in the Prototype method, so I won't choose this one here.",True
574,S_8,1,4,Build,Water Jet Cutting,M_54,False,"This method is kind of similar to the laser cutting, and it won't leave a burnt cutting edge, but this method will take a longer time than the laser cutting, so I will still choose the laser cutting rather than this one.",False
575,S_8,1,4,Build,Wireframe,M_55,False,"Since our product won't include much software part, so I don't think this method will be suitable for us.",True
